tokenname_w_tokenid,time_est_buy,time_est_sell,price_buy,price_sell,currency_buy,currency_sell,hash_buy,hash_sell,wallet_address,pnl,pnl_w_fees
0N1 Force_1416,2021-10-05 20:04:44,2021-10-06 21:32:42,1.611,1.795,weth,eth,0xb2c64fa5270e596cfd065e7a6f7e0bf9f9fe8dab1011a90662dbc3b753a4f089,0x10248eeb1bd3541797d3a96e0d792308bdc9079e0123e0667314559895e822ce,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.18399999999999994,0.058350000000000124
0N1 Force_2284,2021-10-14 10:46:35,2021-10-17 10:36:22,1.2553999999999994,1.0,weth,weth,0x444864e6e18b1de3df2529d4fa8fd417b958d4c3bfa67df526ed8cbab9aa4d51,0xfe4c516b6f98f351b7445fa5e8f7d70de8f0c5ea5d4b5b4ba4765611f9f15c09,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,-0.2553999999999994,-0.32539999999999936
0N1 Force_2406,2021-11-01 18:46:38,2021-11-02 00:34:56,0.741,0.8794,weth,weth,0x598cb8462f646a413af1c72fe73d33d2c2effe632a2a61e1c4d37b34535a4ef8,0x110513bc348b01792627ee2737207dc43f59d708c575cc13d59b3808581020f0,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.13839999999999997,0.07684199999999997
0N1 Force_2455,2021-10-05 10:36:04,2021-10-05 11:47:05,1.6021,1.98,weth,eth,0xaad112aaf1a9ea773542ffa610603ece4fb917ba589f62734faaccc929b18ed3,0x8637613377d3f2302265b6180e3d699686391bf23dc388b0347054ff1703b6fa,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.3778999999999999,0.23930000000000007
0N1 Force_259,2021-09-27 02:43:12,2021-09-27 19:23:24,1.821,2.275,weth,eth,0x26cbf18ee8389861b8d57ee33a5d0131cb4429d76a2683e1a0604c7e4280a6c6,0xb19b6039f00ed332c50973a3050635f76b36612caf1d8952b49145f9b430f072,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.45399999999999996,0.2947500000000003
0N1 Force_2782,2021-10-07 15:20:46,2021-10-07 19:58:53,1.3880000000000001,1.939,weth,eth,0xededa6a58129f68e2c0094595a7738beeb615e6874798fc1c980256fe24bc023,0xd620e818194720478fd3a4314fcb79047f7842d885819dd4be0b5dbf5c895d14,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.5509999999999999,0.41527000000000003
0N1 Force_3127,2021-09-25 22:37:39,2021-09-26 01:16:06,1.882,2.38,weth,eth,0x580e492fd836917ed70e154278eefa31affb9434671f8b8aaea9f6aca53d0c13,0x9a6ec9a5d8fcc78b2c7d5e58ebd179569e576c99615a55a90c5e5c3bc04d64d9,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.498,0.33140000000000014
0N1 Force_4197,2021-09-26 20:23:23,2021-09-26 20:44:05,1.9709999999999999,2.385,weth,eth,0xeb2cddd2ba45cb93c40c54267ba7403cb6b555a090e28889b38f9e4e8f61f4de,0x21ae218e565f793cea5225364875af080d17b936b1e59d01a4ecb08c07880d70,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.4139999999999999,0.24705
0N1 Force_4449,2021-09-17 17:22:41,2021-09-24 21:55:52,1.9325,2.1,weth,eth,0x1870c069937e8a157a2807628396468b54df6230e74599ddff25bc0f0b7677db,0xeff0588b830cf0f747d5f68b293a9b5c2c06d7eb53cb19eae853e8c52036bebf,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.16749999999999998,0.020500000000000185
0N1 Force_4522,2021-11-08 09:51:42,2021-11-08 21:06:34,0.7098,0.815,weth,eth,0xdd41a49c86890515b1ceb3e3e5dd0c99f1a4d0f2c3e9125e93ed07d2d342361c,0x4b742776ff66e16a718aa8c8232c4883056d7cf24bbbdf11aacaed9cf93706b8,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.10519999999999996,0.048150000000000026
0N1 Force_546,2021-10-02 12:54:45,2021-10-02 14:49:38,1.801,2.29,weth,eth,0x83476bd7b5766e20dab9b1395920eebe25a845b96febdfd59eb61a74597f8867,0xf7126bbb4f08c445344b8a6369c183c9e58f9fa04aabb13004e6461fa423fb4f,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.4890000000000001,0.3287000000000002
0N1 Force_6157,2021-10-16 19:46:11,2021-10-17 10:37:41,1.001,1.0,weth,weth,0x0342ba4c77bdb218ca8c8311fa1c0ea8103a7b1ea832171657604b64f0f19cdb,0xdc06cd62150428bd3e8d700b35a9dbe0c4761bab59540fe4540a498991c343e8,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,-0.0009999999999998899,-0.07099999999999984
0N1 Force_6404,2021-09-24 15:29:33,2021-09-24 16:30:22,1.5059999999999998,1.79,weth,eth,0xb76b8406d8a94aac0f306a507104cdba708d0ec528e4c601bdaa75b2e1e04d22,0x0842eb8a4921cd1a31437be594e7b7dc075255e223b4b3cd0fa83a01301929b4,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.28400000000000025,0.15870000000000029
0N1 Force_7619,2021-10-06 09:38:10,2021-10-07 09:42:01,1.4609999999999999,1.795,weth,eth,0xf261340d59d02c091302f93f63c2fbb9a5e9189266cbb0c26f3ad136c8e6db22,0xcd85d4881638177e6ec53480b1e44a559977499276e4facc873f77d400463e27,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.3340000000000001,0.20835000000000026
Anonymice_2226,2021-11-13 19:54:08,2021-11-14 03:42:17,1.351,1.65,weth,eth,0x6fb2fdce370dd2381c432484b1f031bea4ce0c7838fc75142604557d0bc5da9e,0xd363e893cfe85e75c90d9e9a60fc1c47de53354cd56eb8d01f4e3a815327793d,0x0ecbba0ccb440e0d396456bacdb3ce2a716b96e5,0.29899999999999993,0.1835
