tokenname_w_tokenid,time_est_buy,time_est_sell,price_buy,price_sell,currency_buy,currency_sell,hash_buy,hash_sell,wallet_address,pnl,pnl_w_fees
BoredApeKennelClub_2145,2021-08-01 18:32:00,2021-10-13 23:15:56,1.36,2.25,weth,eth,0x9b3bb0da016fdb7b1230b6f5954d570f038de44baa5c502a523bc9075c3e2bd6,0x6a5dd19491a1d87be318f325a56b6855948329be268e3625216a2af5874289b7,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.8899999999999999,0.7325000000000002
BoredApeKennelClub_2313,2021-08-28 14:54:13,2021-08-28 16:34:52,9.98,5.45,eth,eth,0xd902bfa571574734866a97e71adc243b9c62b2c1d6ef485bd28905d3bc2a96a1,0xe2d4ccb5606e9e76b601c2b084f265e592c01896c3a1cadbb9c3952af0a8d2b5,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-4.53,-4.9115
BoredApeKennelClub_2443,2021-08-21 16:16:44,2021-08-21 21:46:42,2.121,2.32,weth,eth,0x8b8e393b6b0f61fdd5c78613c7d40dd83603bff15bbd219ad9f608736fd66f2d,0x6e7c56eee9c25618b187a71ea0d843505d176ee987ed234b4e72580e98329870,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.19899999999999984,0.036599999999999966
BoredApeKennelClub_2540,2021-08-15 06:05:26,2021-08-15 17:53:19,1.61,2.14,weth,eth,0x0a9796f251d77235bc9cfce033b202343cf014a39fddb2da98f5d183a8bcbc28,0x2737f784a561ad1f670f4637d9ef9600a231f6df647a24bfb64eed982b07a8e6,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.53,0.3802000000000001
BoredApeKennelClub_299,2021-08-28 21:19:40,2021-09-01 13:52:47,4.6134,3.8,weth,eth,0xbce0535077708e1572afd0e42080f11d068b25229261958251f0b39f3d08e758,0xddeeea60db2a79e344ec74f737a91358bfea8aad8c3edea9c3a5aa091c1757f3,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-0.8134000000000006,-1.0794000000000006
BoredApeKennelClub_3028,2021-08-15 08:21:42,2021-08-15 18:42:08,1.61,1.95,weth,eth,0xb615f520dc6a59fc54701a3826ab24b985b530548875a7e4e215727cf6b0b7d9,0xdb344f3a459b4491315bbe88e7dcfcc67fe5fcc73d6f48e804410426626e9788,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.33999999999999986,0.20350000000000001
BoredApeKennelClub_3203,2021-09-05 17:03:51,2021-09-05 18:26:01,2.21,2.75,weth,eth,0x827874099f81d7368a81b55473ed62d5688755fcb6daf5ebf3548fd49fc25ee7,0xdbd9394a6ce08a5f8dd0cb5d4ee988f72b85ed5a77970618c7ac508179c11b84,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.54,0.34750000000000014
BoredApeKennelClub_3518,2021-08-18 22:47:38,2021-08-19 20:45:34,1.61,1.969,weth,eth,0x8b9d560c6d894d45d83ee9ed231aa648edac6652891941f4ca265a86f1e803c1,0x0c18a292782730ee76683b75567d08a84a03470370125833c1f8272989b845c4,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.359,0.2211700000000001
BoredApeKennelClub_352,2021-08-28 21:26:32,2021-08-29 11:50:12,4.619,3.79,weth,eth,0x89c660a850a2d39be5db4c7126124faa6b4c16d2c66e7d4f29b0705e83d59f46,0x5395565e033b91f3270184e196da63d1ffdf7b183cf993d60b682f9d632a6e42,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-0.8289999999999997,-1.0942999999999996
BoredApeKennelClub_3866,2021-08-15 08:19:29,2021-08-15 09:26:24,1.61,1.8,weth,eth,0x8857f401f4750c2062594687ca7eff6d19de991d4f912294e8e32ec4540d9d6e,0x16f40090ed05a168d3c739a0c0270599d0a30210ee5bdc3307dcaa5dedeba4d6,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.18999999999999995,0.06400000000000006
BoredApeKennelClub_3915,2021-08-20 07:15:59,2021-08-20 15:45:48,1.6601,2.3,weth,eth,0x662ae7ce9a88542a69356bf18370b15be3e21ae36d0184e017d6cc520542a220,0x25971e1a7dbc8e372f7abc37ec4df85b98721bc13715ac5bd60d2d63edcb8ed5,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.6398999999999999,0.4788999999999999
BoredApeKennelClub_3970,2021-09-03 05:13:33,2021-09-04 18:02:53,2.61,3.1,weth,weth,0xdd95ad4691d37a6b05ebeb6cf3b85f5eab62d8b5e37b227f2b065ed994a9150e,0x74c430de678f26e38a9b17b30fa5b758a123959ab5967663ed61feb30f27ced3,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.4900000000000002,0.2730000000000006
BoredApeKennelClub_4201,2021-08-28 10:57:10,2021-09-01 20:24:14,17.0,6.0,eth,eth,0xa7aa29f7f9800f1d4f1a77c5400d8c0cf97452241bb1a8dcf1c7fedd2970ce87,0xb9c16d800dcbaf07da65c2c7e986b0512903f39ac56ac805b1721bd82a75f901,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,-11.0,-11.42
BoredApeKennelClub_4309,2021-08-30 22:13:35,2021-08-30 23:20:01,3.6,4.79,weth,eth,0xb8ab70335e2771e24b6d1df1c49eb9c85797c4d644a758eb7f16ab58a472388c,0x27dce80613cd78840b50df17696a0dbaf59aba3fcbac5dbff779e121355ad6bf,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,1.19,0.8546999999999998
BoredApeKennelClub_475,2021-08-15 08:23:33,2021-08-16 12:06:32,1.61,1.8,weth,eth,0x8c5e553036b87c039348912fd5a13e327f51374ae6144c9c11d1fd3a3dbd699f,0x24c80230527a2badc808236259d07eb843659f34bf597fc05247d4c45ed1e494,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.18999999999999995,0.06400000000000006
BoredApeKennelClub_5287,2021-07-31 19:31:33,2021-07-31 22:50:08,1.01,2.09,weth,eth,0x9de3d82e3f14560dca8c57b00f2b0ec2233c650e82236f24ff47ab98e41c35bc,0x40964b0c4c59b07295b1b33cded433e058152ffe8ad1dae92a15418de6fb56f8,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,1.0799999999999998,0.9337
BoredApeKennelClub_5508,2021-09-05 16:54:01,2021-09-05 17:48:12,2.21,2.78,weth,eth,0xfeaca09b359ddb81b930975a98a759d06c30ed6b558f954a31cc3e1702685536,0x5c4ee2f3cd40b42f1a87e162d557493f9f07cd1ab1a8740141f2660105a7430e,0x2d1194e75b408c9395a8bbbedc0079322b62c0a4,0.5699999999999998,0.37539999999999996
