tokenname_w_tokenid,time_est_buy,time_est_sell,price_buy,price_sell,currency_buy,currency_sell,hash_buy,hash_sell,wallet_address,pnl,pnl_w_fees
ALPACADABRAZ_858,2022-03-22 16:48:02,2022-03-22 17:15:10,0.326,0.399,weth,eth,0x2268240fb6aa5ee7f760d57bfe4348e07af8b3d40b40881d9bcb8eb11e2a5b06,0xea708ff539cd55de62e44998e5941991d2e6649a818e1b47876f155a3b41c013,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.07300000000000001,0.045070000000000054
Adam Bomb Squad_6750,2022-03-27 13:53:56,2022-03-28 12:06:09,0.4328,0.585,weth,eth,0xd77ac8ec19b3e8df9b0bac152666067ad91318e3fbeff95445ed9ed12e488e01,0xf20efe58afdcb647928280c48fe527d0a48676bd1204675cf4618457bd7690e6,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.15219999999999995,0.11125000000000002
Apocalyptic Apes_3402,2022-02-21 12:50:14,2022-02-26 23:20:23,0.3279,0.3799,weth,eth,0x9b34162e824ba27cf88d33d8f661ab9a7b4ac154edaebe6a4bace1895f9e7bba,0x1b93c3ccf8f0562fc4b64b377b4b3f64aec7b3d638c80fbca650406bd7634655,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.05199999999999999,0.025407000000000013
Apocalyptic Apes_5068,2022-03-07 19:39:45,2022-03-09 16:52:20,0.3345,0.415,weth,eth,0x52bc1c5f96e8a97ac37ba9592761ce11d05ca0f8eb0602a3295be2cb9d718bc4,0xcd22a7da9dc860f82fda9c645d78e0339d50cd5071c3ae64b36e1cc3e0a05899,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.08049999999999996,0.051449999999999996
Art Blocks_130000474,2021-10-03 23:31:16,2021-10-18 13:37:56,0.932,1.29,weth,eth,0x88ff9f0fd2b9fee550e0e023a6c672d90c42126446a7e55e0f6341f8c1f7027e,0x245039e0168e0313baf7d9defcc20188197fe71355c501f9030a8a27ef282b99,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.358,0.26769999999999994
Art Blocks_130000520,2021-10-05 07:10:31,2021-10-14 05:38:30,0.6,1.0292863671599308,weth,eth,0xb786629465a0c31615053d017861b22c0d6b34d0a3295d8cc77f523bc0030793,0x0c2d08dd3f771b80de6bfffaafcafb173ce1311baf2aeb9c747811679c21fa73,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.42928636715993085,0.35723632145873574
Art Blocks_131000433,2021-09-20 07:22:16,2021-09-22 12:09:43,1.8298,2.95,weth,eth,0x82277e97891fe2dbc92f493e166c60988e5a69ca6ac486aaba1d6b96de755bd7,0xc2d82fee4f44719e4ed7f77f8dba40aa61676a27ea3b154ca3d365777d095783,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,1.1202,0.9137000000000004
Art Blocks_147000454,2021-10-05 07:05:56,2021-10-07 17:12:08,1.915,2.2791369336850384,weth,eth,0x02cf6f70be25603e37237cb92922d00f47324f700b1d6872a4c4bf8113f1f3af,0xc6d2babac189b3b0651c222c3bb44bc2a4b39f6cb841adda4e846b6b48bceb41,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.3641369336850384,0.20459734832708598
Art Blocks_29000507,2021-09-27 03:50:02,2021-10-01 01:20:26,1.605,1.8781033036091448,weth,eth,0x71a6f61a6a0c0ad97d03e8dcbd8abe879c6393d0d8273e59ab509af74dd2c556,0xf22f46c284b3e7bb8e6701f29af3f5122dd3952612dee9651cf4c6a993b5c231,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.2731033036091448,0.14163607235650466
Art Blocks_3001049,2021-09-24 11:43:39,2021-10-07 19:22:00,1.11,1.3698464100666174,weth,eth,0x52a7848ebe041728ad3dded0504edaf5264c7992c60a4efd288dbcb3c8ca12c8,0xb847729d0e4f229468d7a6d53feb2f285461eda940b75fd0970fe1dc28619bf4,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.25984641006661735,0.16395716136195415
Art Blocks_3001760,2021-09-24 11:48:51,2021-09-24 16:07:16,1.105,1.587032216256249,weth,eth,0x36e1c075bd830095b88a1b495e3adebde6eae79a09bfc459c6fdd49828d1b538,0x4362e6376cdb3e6efc42c777a50de423b2dab518196bb55a3981e7fe032388dd,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.4820322162562489,0.3709399611183115
Art Blocks_35000715,2021-09-24 00:27:53,2021-09-24 17:50:16,1.2019999999999993,1.79,weth,eth,0x8a4c1ee6b3f20ad1ddc25090622d47a1a90ff7e6392278825c17f0809dfa5d24,0x80daec075f413cd07d6521ca830c96e75529546c71002e79cf05dfff8d74e93e,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.5880000000000007,0.4627000000000008
Art Blocks_37001363,2021-10-04 15:55:41,2021-10-05 15:49:06,0.40399999999999997,0.5728169234061999,weth,eth,0x3fd64b42f810230ae7de5ef6c730c1fb28f5621f69d95836db75155b0fc692fd,0x49eb532c129c4c5513002336242e1fdd610e294b2fb39de93f8d0fbe83cefd02,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.16881692340619997,0.12871973876776605
BFF_5081,2022-03-28 13:34:07,2022-03-29 05:20:24,0.7073,0.795,weth,eth,0x393843e0ba80255d767937ca357b6d0a20e6bcb05336e2cb65745ef6c12e1b65,0x1b3492ed4b458ddc950b3a39c41ee53eb7177b3d708a43ae011864bbd33132eb,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.0877,0.03205000000000002
Boss Beauties_4310,2022-03-02 21:26:42,2022-03-05 02:40:23,1.5817,2.9989999999999997,weth,eth,0xbd9cbc3779141227770e99faef2d29dbc18c76a37267542f989fb120f1665e1e,0x619535d21fe8f508fba9e134829853c03f5b7e222a8a9f4f81ba068594d0df8f,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,1.4172999999999996,1.2073699999999996
Bricktopians_7938,2021-11-24 06:06:02,2021-11-24 10:53:25,0.191,0.298,weth,eth,0x33a3417d420e6308e2e6b50998d074aac64c59d9b1339f879d6d3e22a4814e3b,0x9c4de135b04241e6dad892935c788637bb8af9cbc7a00223cd7510e379d6151c,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.10699999999999998,0.08614
CatBloxGenesis_1001,2022-03-07 18:37:46,2022-03-08 05:26:32,0.2451,0.31,weth,eth,0xe365615a58d6ec5fa522e15c718ffcd51809a9089320c8053408f8ee5f4f309f,0x35aaebc4dead6a816141ca648e7b2f9cf50dd28024f249b41aff474de99cf412,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.06489999999999999,0.04319999999999999
Creature World_5511,2021-10-28 13:51:29,2021-10-29 08:15:21,1.702,1.944,weth,eth,0x47ff737c954d0fbcba1b12f6007f02232b6e09261180b7aeb13fc3d1a5c1327c,0x6ea4b494ff6990aa630491a59a31a26f99d50e36d6121eb52be777f0cee047d1,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.242,0.10592000000000001
Crypto Cannabis Club_8503,2022-03-21 23:22:12,2022-03-27 14:24:38,0.1638,0.199,weth,eth,0x1425b57e6e0303a9b228266ca735b67352c282fbf0f803537fa26bd14a28d1cd,0x5b99cf08899d74f12a36fd52fb397381780b7226d48ab05b11efa064e211237c,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.03520000000000001,0.02127000000000001
Crypto Chicks_5001,2022-02-21 14:20:46,2022-02-21 21:12:19,0.3611,0.499,weth,eth,0xa90746f58094606c8e71e08fccde717d797f7fa7927a34437e3fc8ec1388630b,0x9ca150e8636b21acac96c973e7a313bf9977f8ad3491c8dec638ae7a26635aea,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.13790000000000002,0.10297000000000006
Crypto Chicks_5002,2022-02-21 14:56:04,2022-02-21 20:38:27,0.3711,0.4469,weth,eth,0x86af4ac929cf8c8c40cbb24461ec515c6bed4806c9e515177846d17f27b49fc0,0x6e2e11cedcca1350ab10ee9ed68e0afcc8e22edfa9f6492c4a5a4b5f0b1c54d8,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.07580000000000003,0.04451700000000003
Crypto Chicks_5717,2022-03-22 13:17:01,2022-03-24 01:13:10,0.4972,0.599,weth,eth,0xc78e18c59bbd4a85256cca897d80267de122e222da213ac91993aa85f35e05c3,0x03d0e5039bd3bfc2d4587e869abe2f22af3e0ce0a7e0c0f603b8bfc6c29f1a49,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.1018,0.05986999999999998
Crypto Coven_2928,2022-03-26 16:30:11,2022-03-26 20:50:24,0.8433,1.068,weth,eth,0xe29e164ff862354bb86a83b2f270d4e324ac431a33be1b4fdd6a02389789406f,0xcc83ba651d4c21391bd6832562f74ef02e663ef6c4b38bd6d0084165bbbefd20,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.2247,0.14994000000000007
CryptoonGoonz_1822,2022-03-06 17:21:02,2022-03-06 17:31:25,0.3878,0.48700000000000004,weth,eth,0x491f94a55811a11cc9a15ca76ec5e5c872d17f1a30e1b1b6350c74df50e8976d,0x3a69c58ee978e070a6bd437eab7f0e24d3f2edf0b4a11c784513fb0649092ec6,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.09920000000000007,0.06511000000000011
CryptoonGoonz_6808,2022-02-26 22:00:33,2022-03-18 09:36:03,0.449,0.468,weth,eth,0x96f9dbc0d5c205f70b9a281c488a713050431400041da5b283e89a19d16f37f2,0x6802d0557412134c8ff7a91012d255c5d68e269149e6709488ca227858813c19,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.019000000000000017,-0.013759999999999939
DeadFellaz_3155,2021-12-06 06:56:22,2021-12-07 09:51:38,0.7190000000000001,0.846,weth,eth,0x6ffb842e86613a66ac38e3c260380d9562aea67c7028583e5233a1f7766c703e,0x6304cf00968be6cd4f66f283a4cd77328bb9dba441aaa4bef818d303fefacc9a,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.1269999999999999,0.06777999999999995
DeadFellaz_4297,2021-09-28 17:45:16,2021-10-01 09:07:41,1.253,1.38,weth,eth,0x59614dc31e282c5aa1f27c2d1d19db25fc4edc95f36a837d2b6a0f0270c82a56,0x92315eba8373cf03d33ec10afc3d8625e93bb6e6578ab9cf237892aacf7dd0ed,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.127,0.030399999999999983
DeadFellaz_4990,2021-09-28 12:27:01,2021-09-28 14:16:11,1.1719999999999997,1.5899247750769017,weth,eth,0x9fbb659a9a00da6e112246b22d28b9707e00dfe707583f672161514c59b51ad8,0xfefa163b54f33712476efe4b655087c275aebeb5272b1ce6e0448c07199a7e4a,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.41792477507690196,0.306630040821519
DeadFellaz_503,2021-10-01 08:29:46,2021-10-01 17:36:20,0.9716319999999999,1.6274267926471524,weth,eth,0xc18a071a2ca270f16809443ea43418ff5eaa40007d55c0eb5649fb5c54855fe9,0x63b3b91944b28c01f7e91722007efc744f5fdfb3926f74845e7fa9f6af657c5c,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.6557947926471525,0.5418749171618519
DeadFellaz_5518,2021-10-02 16:20:21,2021-10-03 16:11:59,1.213,1.375,weth,eth,0xc5ecad79ed053773907a4d341096c7e7326701e00f193dc0f252161fc237747d,0x236b2c82923a676106bfc1433077ae159c90065e9883951a539a37b389c8ca5a,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.16199999999999992,0.06574999999999998
DeadFellaz_6839,2021-09-27 19:57:00,2021-09-28 04:06:11,1.1738,1.53,weth,eth,0x8edeea6dc767857f2769cc05f861e2b5304eeba55b9e65d0c44d2679585bef3c,0x05ac83e878be34e7ad7aed635533627a7a90ad5a4cf1643f50fa1436dc634550,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.35620000000000007,0.2491000000000001
DeadFellaz_9401,2021-09-30 21:15:31,2021-10-01 16:23:52,1.063,1.375,weth,eth,0x0cc5faa326951d4ddf622f5d0757a92815a0a2f93d27d82372bb3c1d9fc51b6a,0xd26e6dabe00d2330994b74f92c906c39c8f19249decdfe20af1174875abc4b96,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.31200000000000006,0.2157500000000001
DeadFrenz_2890,2022-02-26 23:24:45,2022-02-27 20:08:59,0.318,0.39899999999999997,weth,eth,0x75dddaf833d9c527fa3de9368d09ace7857611a43703177fa18f1e73a3279ea7,0xfa067edab8917c8358dcdaad647a9679d0cd5cdc84f10a68f6861fb0e1944791,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.08099999999999996,0.053070000000000006
Dented Feels_7254,2022-02-28 19:38:12,2022-02-28 20:14:25,0.2926,0.384,weth,eth,0xd433e502bcb67c1d2f5ddeabe58b116c0cf45d406e43b06d4991120dab74bb11,0xe0c62eda2dd79877e8ecc2dbb434bead339a0f9bee17691c476e118ccad3c93b,0x0e78c12ad4c2e31ff38c4c0ce2fea1e57b838d47,0.09139999999999998,0.06452000000000002
