token_id,time_est,is_auction,price,currency,price_eth,price_usd
1792,2022-06-08 13:06:35,False,0.149,eth,0.149,250.5
1813,2022-06-08 15:13:13,False,0.199,eth,0.19899999999999998,334.69
1878,2022-06-07 21:18:54,False,0.187,eth,0.187,314.39
1896,2022-06-07 12:28:44,False,69.0,eth,69.0,116049.72
1913,2022-06-04 18:13:56,False,10.0,eth,10.0,16818.8
1952,2022-06-10 08:45:07,False,0.15,eth,0.15,252.28
1953,2022-06-07 20:27:25,False,6.9,eth,6.9,11604.97
1973,2022-06-10 07:24:59,False,1.5,eth,1.5,2522.82
1990,2022-06-09 19:26:23,False,0.197,eth,0.19699999999999998,331.2
2046,2022-06-08 10:06:14,False,0.195,eth,0.195,327.84
2047,2022-06-04 18:34:03,False,0.22,eth,0.22,369.87
2083,2022-06-10 02:17:11,False,0.175,eth,0.175,294.22
2081,2022-06-04 21:33:28,False,0.34,eth,0.34,571.62
2094,2022-06-09 21:29:12,False,0.14,eth,0.14,235.37
2122,2022-06-09 21:30:03,False,0.15,eth,0.15,252.18
2166,2022-06-10 04:24:34,False,0.13,eth,0.13,218.64
2175,2022-06-09 20:22:51,False,0.159,eth,0.159,267.42
2204,2022-06-09 11:08:15,False,0.132,eth,0.132,221.92
2232,2022-06-10 02:16:50,False,0.175,eth,0.175,294.22
2261,2022-06-08 07:27:58,False,0.24,eth,0.24,403.5
2271,2022-06-10 15:55:10,False,1.2,eth,1.2,2017.48
2277,2022-06-10 12:51:43,False,0.13,eth,0.13,218.56
2326,2022-06-09 10:49:07,False,0.175,eth,0.175,294.22
2338,2022-06-10 09:12:13,False,0.135,eth,0.135,226.97
2356,2022-06-10 02:17:06,False,0.175,eth,0.175,294.33
2370,2022-06-10 02:16:44,False,0.175,eth,0.175,294.22
2409,2022-06-10 02:16:38,False,0.175,eth,0.175,294.33
2445,2022-06-10 02:17:00,False,0.175,eth,0.175,294.33
2446,2022-06-05 10:22:21,False,0.365,eth,0.365,613.89
2457,2022-06-04 18:43:47,False,0.25,eth,0.25,420.31
2469,2022-06-10 16:58:13,False,1.99,eth,1.99,3346.94
2465,2022-06-08 03:01:05,False,0.24,eth,0.24,403.65
2478,2022-06-06 08:47:40,False,2.8,eth,2.8,4707.44
2486,2022-06-10 12:12:37,False,0.169,eth,0.16899999999999998,284.13
2499,2022-06-10 07:23:24,False,1.5,eth,1.5,2522.82
2532,2022-06-08 07:30:22,False,0.39,eth,0.39,655.68
2540,2022-06-08 00:16:23,False,0.188,eth,0.188,316.07
2543,2022-06-09 23:39:12,False,0.222,eth,0.222,373.23
2546,2022-06-08 16:05:58,False,0.34,eth,0.34,571.62
2558,2022-06-10 07:24:31,False,1.5,eth,1.5,2521.85
2580,2022-06-05 09:51:56,False,0.3,eth,0.3,504.37
2573,2022-06-05 06:45:48,False,1.55,eth,1.55,2605.91
2604,2022-06-07 05:36:41,False,1.0,eth,1.0,1681.23
2603,2022-06-07 05:36:22,False,1.0,eth,1.0,1681.23
2611,2022-06-08 16:47:24,False,0.5,eth,0.5,840.62
2624,2022-06-07 09:42:22,False,0.195,eth,0.195,327.84
2643,2022-06-10 02:16:32,False,0.175,eth,0.175,294.22
2656,2022-06-10 11:58:03,False,0.145,eth,0.145,243.78
2677,2022-06-10 08:03:12,False,0.19,eth,0.19,319.43
2692,2022-06-10 11:15:55,False,0.175,eth,0.175,294.22
2755,2022-06-07 08:55:29,False,0.25,eth,0.25,420.31
