token_id,time_est,is_auction,price,currency,price_eth,price_usd,name,background,body,eyes,hand,head,mouth,skin,eyewear,face,neck,special features,legendary
1483,2022-06-10 14:59:33,False,0.127,eth,0.127,213.6,Fear City #1483,Blue City,Green Leather Trench,Tentacles,Pills,Cat Burglar,Monster Joint,Thumper,,Rabbit Head,,AK-47,
1706,2022-06-10 08:32:53,False,0.128,eth,0.128,215.28,Fear City #1706,Subway,Pop T,,Gold Ball and Chain,Soul Hat and Blonde Hair,Bubble Gum,Thumper,,Rabbit Head,,,
1247,2022-06-10 07:15:10,False,0.129,eth,0.129,216.96,Fear City #1247,3D Flag,Black Metal TeaTime T,Normal,Syringe,Fez,Idol Sneer,Baker,,,,,
95,2022-06-10 03:37:34,False,0.129,eth,0.129,216.96,Fear City #95,God Bless America,Denim Cut Off and Green T,Normal Eyes,Coffee,Messy Short Black White Mohawk,Joint,ShadowKai,,,,,
2277,2022-06-10 12:51:43,False,0.13,eth,0.13,218.56,Fear City #2277,God Bless America,Plaid Shirt Open,Normal,Cash,Shiba Baseball Cap,Natural Lips,Baker,Ski Goggles,,,,
961,2022-06-10 09:45:26,False,0.13,eth,0.13,218.64,Fear City #961,God Bless America,Half Fur,Strange Gaze,Hot Dog,Blonde Bell Bob,It Lips with Ciggy Holder,Barb,Goth Glasses,Hickies,,,
1775,2022-06-10 08:53:22,False,0.13,eth,0.13,218.64,Fear City #1775,Subway,Bondage Waitress with Shirt,Nurse Eye Patch,Skull and Bubbles,Brown Princess Leia,Smiley,Helen,Green 80s Frame,,,Pigeon with Syringe,
2166,2022-06-10 04:24:34,False,0.13,eth,0.13,218.64,Fear City #2166,Subway,Power Hoodie,Purple Mask,Light Bulb,Brown Princess Leia,Joker with Toothpick,Helen,Green 80s Frame,Nose Band Aid,Choker,,
2204,2022-06-09 11:08:15,False,0.132,eth,0.132,221.92,Fear City #2204,Mutant America,Yellow Roller Disco T,Smokey Punk,Pills,Cat Burglar Mask,It Lips Displaced,Helen,,,Samurai Bling,,
1476,2022-06-09 06:49:51,False,0.133,eth,0.133,223.69,Fear City #1476,Subway,Camo Bomber and Leather Cut-off,Natural,Light Bulb,Pink Mohawk,Lovely Lips,Helen,White 80s Frames,Face Tattoo,,Tentacles,
1493,2022-06-09 06:50:12,False,0.134,eth,0.134,225.37,Fear City #1493,God Bless America,Blue Bomber,Normal Eyes,Rubber Ducky,Green Mohawk,Joint,ShadowKai,,,,,
1492,2022-06-09 06:50:28,False,0.135,eth,0.135,227.05,Fear City #1492,Subway,Green Vest,Normal,Rubber Ducky,Blonde Short Mohawk,Porn Moustache,Baker,Aviators,,,Pigeon,
3223,2022-06-10 02:11:41,False,0.135,eth,0.135,226.97,Fear City #3223,Pink Spotlight,Fur Coat,Natural,Gold Ball and Chain,WAGMI Helmet,,Helen,,Nose Ring Diamond,,Tentacles,
2338,2022-06-10 09:12:13,False,0.135,eth,0.135,226.97,Fear City #2338,Green Flag,Green Leather Trench Coat,Natural,Pills,Crown,Lovely Lips,Sophia,Black Rectangle Shades Red Lens,,Clock Bling,,
2818,2022-06-09 05:20:34,False,0.139,eth,0.139,233.69,Fear City #2818,God Bless America,Yellow Roller Disco T,Natural,Hummingbird,White Bunny Mask with Lasers,Lolly Lips,Sophia,,,Samurai Bling,Pigeon,
2094,2022-06-09 21:29:12,False,0.14,eth,0.14,235.37,Fear City #2094,Blue Magic,Varsity Jacket,Normal,COVID,Yellow Baseball Cap,Natural Lips,Baker,,Nose Band Aid,,,
968,2022-06-10 05:24:38,False,0.14,eth,0.14,235.46,Fear City #968,Green Flag,Leather Cut Off,Normal Eyes,Cash,Green Mask,Natural Lips,ShadowKai,,,Samurai Bling,,
1685,2022-06-09 17:10:00,False,0.14,eth,0.14,235.46,Fear City #1685,God Bless America,NGMI T,Normal Eyes,Hot Dog,Army Helmet,Joker with Ciggy,ShadowKai,,,,Bubbles,
3311,2022-06-08 14:43:24,False,0.14,eth,0.14,235.37,Fear City #3311,God Bless America,Denim Cut Off and Green T,Normal,Rubber Ducky,Luigi Hat,Idol Sneer,Baker,,Nose Band Aid,,,
1506,2022-06-08 10:52:47,False,0.14,eth,0.14,235.46,Fear City #1506,Blue City,Denim Cut Off,,Knife Down,Farrah,Joint,Thumper,Clubmasters,Rabbit Head,Eth Pendant,Ear Pendant,
