token_id,event,price,time_ago,current_time_est
2774,Sale,1.3,2 days ago,2022-03-11 18:22:53
2774,Transfer,,2 days ago,2022-03-11 18:22:53
2774,Transfer,,4 months ago,2022-03-11 18:22:53
2774,Sale,0.615,4 months ago,2022-03-11 18:22:53
2774,Transfer,,4 months ago,2022-03-11 18:22:53
2774,Sale,0.58,4 months ago,2022-03-11 18:22:53
2774,Sale,1.55,6 months ago,2022-03-11 18:22:53
2774,Transfer,,6 months ago,2022-03-11 18:22:53
2774,Transfer,,6 months ago,2022-03-11 18:22:53
2774,Sale,1.1,6 months ago,2022-03-11 18:22:53
2774,Minted,,7 months ago,2022-03-11 18:22:53
9431,Transfer,,2 days ago,2022-03-11 18:23:04
9431,Sale,1.4,2 days ago,2022-03-11 18:23:04
9431,Transfer,,2 months ago,2022-03-11 18:23:04
9431,Sale,2.8,2 months ago,2022-03-11 18:23:04
9431,Transfer,,3 months ago,2022-03-11 18:23:04
9431,Sale,2.7,3 months ago,2022-03-11 18:23:04
9431,Transfer,,4 months ago,2022-03-11 18:23:04
9431,Sale,0.9,4 months ago,2022-03-11 18:23:04
9431,Transfer,,6 months ago,2022-03-11 18:23:04
9431,Sale,0.8,6 months ago,2022-03-11 18:23:04
9431,Transfer,,7 months ago,2022-03-11 18:23:04
9431,Sale,0.05,7 months ago,2022-03-11 18:23:04
9431,Minted,,7 months ago,2022-03-11 18:23:04
1645,Sale,15,5 days ago,2022-03-11 18:23:14
1645,Transfer,,5 days ago,2022-03-11 18:23:14
1645,Transfer,,8 days ago,2022-03-11 18:23:14
1645,Sale,1.86,8 days ago,2022-03-11 18:23:14
1645,Transfer,,8 days ago,2022-03-11 18:23:14
1645,Minted,,7 months ago,2022-03-11 18:23:14
5026,Transfer,,6 days ago,2022-03-11 18:23:25
5026,Sale,2.1,6 days ago,2022-03-11 18:23:25
5026,Transfer,,7 days ago,2022-03-11 18:23:25
5026,Transfer,,3 months ago,2022-03-11 18:23:25
5026,Transfer,,3 months ago,2022-03-11 18:23:25
5026,Sale,4,3 months ago,2022-03-11 18:23:25
5026,Transfer,,6 months ago,2022-03-11 18:23:25
5026,Sale,1.49,6 months ago,2022-03-11 18:23:25
5026,Transfer,,6 months ago,2022-03-11 18:23:25
5026,Sale,1,6 months ago,2022-03-11 18:23:25
5026,Minted,,7 months ago,2022-03-11 18:23:25
2904,List,5.99,2 days ago,2022-03-11 18:23:36
2904,Transfer,,6 days ago,2022-03-11 18:23:36
2904,Sale,2.2,6 days ago,2022-03-11 18:23:36
2904,List,2.42,6 days ago,2022-03-11 18:23:36
2904,List,2.49,7 days ago,2022-03-11 18:23:36
2904,List,2.99,7 days ago,2022-03-11 18:23:36
2904,Transfer,,7 days ago,2022-03-11 18:23:36
2904,Transfer,,3 months ago,2022-03-11 18:23:36
2904,Sale,2.85,3 months ago,2022-03-11 18:23:36
2904,Transfer,,3 months ago,2022-03-11 18:23:36
2904,List,2.85,3 months ago,2022-03-11 18:23:36
2904,List,2.75,3 months ago,2022-03-11 18:23:36
2904,Transfer,,3 months ago,2022-03-11 18:23:36
2904,Sale,2.5,3 months ago,2022-03-11 18:23:36
2904,List,2.5,3 months ago,2022-03-11 18:23:36
2904,Transfer,,5 months ago,2022-03-11 18:23:37
8658,Sale,1.9,7 days ago,2022-03-11 18:23:59
8658,Transfer,,7 days ago,2022-03-11 18:23:59
8658,Transfer,,13 days ago,2022-03-11 18:23:59
8658,Transfer,,20 days ago,2022-03-11 18:23:59
8658,Transfer,,3 months ago,2022-03-11 18:23:59
8658,Transfer,,3 months ago,2022-03-11 18:23:59
8658,Sale,2.98,3 months ago,2022-03-11 18:23:59
8658,Transfer,,3 months ago,2022-03-11 18:23:59
8658,Transfer,,3 months ago,2022-03-11 18:23:59
8658,Sale,2.72,3 months ago,2022-03-11 18:23:59
8658,Transfer,,7 months ago,2022-03-11 18:23:59
8658,Sale,0.7,7 months ago,2022-03-11 18:23:59
8658,Transfer,,7 months ago,2022-03-11 18:24:00
8658,Sale,0.4,7 months ago,2022-03-11 18:24:00
8658,Minted,,7 months ago,2022-03-11 18:24:00
3200,Transfer,,7 days ago,2022-03-11 18:24:23
3200,Sale,1.6,7 days ago,2022-03-11 18:24:23
3200,Sale,1.1,3 months ago,2022-03-11 18:24:23
3200,Transfer,,3 months ago,2022-03-11 18:24:23
3200,Transfer,,6 months ago,2022-03-11 18:24:23
3200,Sale,0.9,6 months ago,2022-03-11 18:24:23
3200,Transfer,,6 months ago,2022-03-11 18:24:23
3200,Sale,0.81,6 months ago,2022-03-11 18:24:23
3200,Minted,,7 months ago,2022-03-11 18:24:23
7580,Transfer,,8 days ago,2022-03-11 18:24:34
7580,Sale,1.4253,8 days ago,2022-03-11 18:24:34
7580,Transfer,,21 days ago,2022-03-11 18:24:34
7580,Transfer,,3 months ago,2022-03-11 18:24:34
7580,Sale,1.39,3 months ago,2022-03-11 18:24:34
7580,Transfer,,3 months ago,2022-03-11 18:24:34
7580,Transfer,,5 months ago,2022-03-11 18:24:34
7580,Transfer,,5 months ago,2022-03-11 18:24:34
7580,Sale,1.18,5 months ago,2022-03-11 18:24:34
7580,Transfer,,7 months ago,2022-03-11 18:24:34
7580,Sale,0.235,7 months ago,2022-03-11 18:24:34
7580,Minted,,7 months ago,2022-03-11 18:24:34
3897,Transfer,,11 days ago,2022-03-11 18:24:45
3897,Sale,1.6,11 days ago,2022-03-11 18:24:45
3897,List,1.75,12 days ago,2022-03-11 18:24:45
3897,List,1.8,12 days ago,2022-03-11 18:24:45
3897,List,1.998,16 days ago,2022-03-11 18:24:45
3897,List,1.998,16 days ago,2022-03-11 18:24:45
3897,List,2,17 days ago,2022-03-11 18:24:45
3897,List,2.1,17 days ago,2022-03-11 18:24:45
3897,List,2.2,17 days ago,2022-03-11 18:24:45
3897,Transfer,,17 days ago,2022-03-11 18:24:45
3897,List,5,3 months ago,2022-03-11 18:24:45
3897,Transfer,,3 months ago,2022-03-11 18:24:45
3897,Sale,2.88,3 months ago,2022-03-11 18:24:45
3897,List,2.88,3 months ago,2022-03-11 18:24:45
3897,List,3,3 months ago,2022-03-11 18:24:45
