token_id,rank,score
358,3251,103.17
359,6383,87.14
360,6946,84.38
361,7860,80.30
362,583,142.69
363,8805,75.14
364,4967,93.74
365,7143,83.50
366,9124,72.97
367,444,149.22
368,8591,76.44
369,4802,94.47
370,2666,107.33
371,3032,104.67
372,7400,82.45
373,7347,82.69
374,871,132.51
375,3639,100.77
376,7364,82.61
377,8812,75.09
378,1916,114.11
379,8380,77.78
380,1719,116.36
381,4129,97.97
382,5867,89.45
383,3065,104.42
384,5476,91.18
385,3356,102.41
386,5407,91.54
387,4275,97.08
388,4244,97.28
389,4849,94.28
390,637,140.08
391,7526,81.86
392,992,129.36
393,5310,92.03
394,4054,98.35
395,3613,100.90
396,3565,101.14
397,3833,99.65
398,3644,100.74
399,9983,61.28
400,5940,89.08
401,2390,109.55
402,7427,82.33
403,4454,96.25
404,8938,74.21
405,752,136.19
406,3274,103.00
407,9950,62.84
408,8368,77.84
409,5087,93.05
410,3579,101.08
411,5510,91.01
412,3753,100.20
413,3599,101.00
414,5224,92.42
415,3145,103.89
416,174,179.10
417,9310,71.59
418,3312,102.74
419,7826,80.45
420,6005,88.85
421,2075,112.46
422,4621,95.34
423,54,329.92
424,1891,114.39
425,3031,104.68
426,890,132.16
427,3438,101.85
428,1474,119.89
429,2580,108.00
430,8851,74.82
431,8433,77.43
432,9824,66.16
433,1128,126.22
434,4284,97.04
435,2031,113.02
436,4463,96.20
437,8951,74.16
438,6488,86.63
439,2370,109.76
440,8569,76.60
441,2701,107.13
442,4708,94.94
443,2697,107.15
444,5480,91.17
445,3733,100.26
446,9700,67.95
447,8841,74.90
448,1208,124.67
449,3665,100.64
450,4086,98.18
451,2072,112.49
452,7483,82.07
453,4511,95.93
454,3295,102.87
455,6727,85.34
456,4466,96.19
457,107,250.71
458,2781,106.49
459,8945,74.18
460,802,134.48
461,2415,109.35
462,3884,99.41
463,305,160.19
464,1413,120.83
465,740,136.67
466,7838,80.40
467,5988,88.90
468,8454,77.31
469,4529,95.81
470,3142,103.90
471,869,132.60
472,7170,83.41
473,7030,84.01
474,6553,86.31
475,4573,95.59
476,3363,102.36
477,1308,122.56
478,3469,101.70
479,320,158.66
480,2833,106.14
481,4592,95.49
482,1502,119.47
483,6542,86.36
484,7760,80.74
485,4624,95.33
486,6288,87.56
487,8503,77.01
488,4556,95.67
489,7964,79.74
490,765,135.73
491,5596,90.68
492,327,158.06
493,6970,84.26
494,385,153.36
495,6450,86.83
496,6221,87.87
497,3207,103.53
498,9357,71.19
499,8869,74.72
500,3365,102.34
501,5452,91.29
502,6613,85.99
503,5893,89.27
504,4190,97.56
505,4082,98.20
506,9919,63.66
507,5305,92.04
508,7665,81.21
509,8602,76.38
510,3146,103.89
511,8231,78.49
512,7582,81.62
513,23,345.83
514,5465,91.22
515,8395,77.69
516,4996,93.58
517,2651,107.47
518,3140,103.91
519,5374,91.70
520,2432,109.24
521,8584,76.49
522,4417,96.42
523,665,138.89
524,5803,89.73
525,6030,88.74
526,1956,113.75
527,1928,113.97
